,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,growth,interval_width,smape,coverage,ambiente_id
51,0.5,0.01,multiplicative,logistic,0.95,0.0897569151330453,0.9107142857142857,22
43,0.1,1.0,multiplicative,logistic,0.95,0.30365721976896204,0.9642857142857143,72
39,0.1,0.1,multiplicative,logistic,0.95,0.16214825218697057,0.9642857142857143,168
45,0.1,10.0,additive,logistic,0.95,0.4516140631145627,0.9464285714285714,203
48,0.5,0.01,additive,linear,0.95,0.3945923264710709,0.9285714285714286,204
9,0.001,1.0,additive,logistic,0.95,0.12645291336907855,0.9821428571428571,243
11,0.001,1.0,multiplicative,logistic,0.95,0.6725864008218281,0.7321428571428571,300
30,0.01,10.0,multiplicative,linear,0.95,0.38539815039951425,0.875,316
35,0.1,0.01,multiplicative,logistic,0.95,0.09893471980026011,1.0,317
16,0.01,0.01,additive,linear,0.95,0.21124759169329124,0.7321428571428571,318
41,0.1,1.0,additive,logistic,0.95,0.47147278626054334,0.9285714285714286,404
24,0.01,1.0,additive,linear,0.95,0.6213849439447682,0.8392857142857143,410
12,0.001,10.0,additive,linear,0.95,0.16706769648051562,0.875,494
37,0.1,0.1,additive,logistic,0.95,0.18867029736045646,0.9642857142857143,506
15,0.001,10.0,multiplicative,logistic,0.95,0.26404829919347356,0.8214285714285714,526
63,0.5,10.0,multiplicative,logistic,0.95,0.28608575376277134,0.8571428571428571,536
51,0.5,0.01,multiplicative,logistic,0.95,0.17544191741107254,0.9642857142857143,568
44,0.1,10.0,additive,linear,0.95,0.298688843373954,0.7142857142857143,624
32,0.1,0.01,additive,linear,0.95,0.15026242254621894,0.9464285714285714,628
26,0.01,1.0,multiplicative,linear,0.95,0.17948092270845087,0.9464285714285714,653
2,0.001,0.01,multiplicative,linear,0.95,0.1867272034171099,0.875,664
32,0.1,0.01,additive,linear,0.95,0.42419699416590106,0.875,698
61,0.5,10.0,additive,logistic,0.95,0.20129608242919203,0.9642857142857143,701
63,0.5,10.0,multiplicative,logistic,0.95,0.3920157724057757,0.9642857142857143,707
13,0.001,10.0,additive,logistic,0.95,0.2525053288682416,0.9285714285714286,762
8,0.001,1.0,additive,linear,0.95,0.49759974682649677,0.8035714285714286,766
4,0.001,0.1,additive,linear,0.95,0.6095670600528376,0.9464285714285714,770
0,0.001,0.01,additive,linear,0.95,0.38538474768122966,1.0,843
58,0.5,1.0,multiplicative,linear,0.95,0.1274313283128067,0.9285714285714286,857
63,0.5,10.0,multiplicative,logistic,0.95,0.5195071956048786,0.9642857142857143,869
5,0.001,0.1,additive,logistic,0.95,0.30726447185665695,0.7321428571428571,903
58,0.5,1.0,multiplicative,linear,0.95,0.4722338676994123,0.9642857142857143,907
63,0.5,10.0,multiplicative,logistic,0.95,0.5549958484333946,1.0,916
5,0.001,0.1,additive,logistic,0.95,0.16787181023412365,0.8928571428571429,922
31,0.01,10.0,multiplicative,logistic,0.95,1.340072926182915,0.9107142857142857,963
29,0.01,10.0,additive,logistic,0.95,0.4870457896548947,0.875,1025
59,0.5,1.0,multiplicative,logistic,0.95,0.8860330068834893,0.8928571428571429,1057
32,0.1,0.01,additive,linear,0.95,0.8352691699746673,0.75,1059
31,0.01,10.0,multiplicative,logistic,0.95,0.8264998266024344,0.8214285714285714,1061
42,0.1,1.0,multiplicative,linear,0.95,0.35620433483602937,1.0,1103
48,0.5,0.01,additive,linear,0.95,0.4597526810284428,1.0,1150
13,0.001,10.0,additive,logistic,0.95,0.11757556413903172,0.9107142857142857,1206
63,0.5,10.0,multiplicative,logistic,0.95,0.37828181280512396,0.7857142857142857,1208
26,0.01,1.0,multiplicative,linear,0.95,0.8311620664094429,0.6607142857142857,1216
47,0.1,10.0,multiplicative,logistic,0.95,0.5141856589420918,0.8571428571428571,1249
36,0.1,0.1,additive,linear,0.95,0.25653872941584155,0.9107142857142857,1250
32,0.1,0.01,additive,linear,0.95,0.2846706758356664,0.875,1264
33,0.1,0.01,additive,logistic,0.95,0.6674453337208917,0.7321428571428571,1273
58,0.5,1.0,multiplicative,linear,0.95,0.6622075665312552,0.8214285714285714,1283
57,0.5,1.0,additive,logistic,0.95,0.19804495082349466,0.8928571428571429,1291
9,0.001,1.0,additive,logistic,0.95,0.40090315064319554,0.8214285714285714,1314
53,0.5,0.1,additive,logistic,0.95,0.29797475236778764,0.9285714285714286,1324
42,0.1,1.0,multiplicative,linear,0.95,0.7759392085714625,0.9285714285714286,1346
20,0.01,0.1,additive,linear,0.95,0.10947229913894074,0.9464285714285714,1353
35,0.1,0.01,multiplicative,logistic,0.95,0.1360830303247354,0.9642857142857143,1368
62,0.5,10.0,multiplicative,linear,0.95,1.3083344562569248,0.7142857142857143,1436
25,0.01,1.0,additive,logistic,0.95,0.24310249407217777,0.7857142857142857,1449
45,0.1,10.0,additive,logistic,0.95,0.11692794661259419,0.8928571428571429,1469
14,0.001,10.0,multiplicative,linear,0.95,0.4166647710895494,0.8928571428571429,1470
15,0.001,10.0,multiplicative,logistic,0.95,0.49213672829508026,0.9285714285714286,1503
12,0.001,10.0,additive,linear,0.95,0.8687106182255037,0.8928571428571429,1536
1,0.001,0.01,additive,logistic,0.95,1.0265875159001328,1.0,1554
14,0.001,10.0,multiplicative,linear,0.95,0.3474964021746077,0.8571428571428571,1586
59,0.5,1.0,multiplicative,logistic,0.95,1.1256970478743724,1.0,1636
16,0.01,0.01,additive,linear,0.95,0.18825609682682423,0.9642857142857143,1671
51,0.5,0.01,multiplicative,logistic,0.95,0.11481644171139796,0.9464285714285714,1699
10,0.001,1.0,multiplicative,linear,0.95,0.224813791331129,0.9285714285714286,1716
10,0.001,1.0,multiplicative,linear,0.95,0.21686249587995973,0.8571428571428571,1795
46,0.1,10.0,multiplicative,linear,0.95,0.3145323361079523,0.9464285714285714,1891
47,0.1,10.0,multiplicative,logistic,0.95,0.7560555501262319,0.9821428571428571,1938
28,0.01,10.0,additive,linear,0.95,0.2220070924804358,0.7857142857142857,1965
15,0.001,10.0,multiplicative,logistic,0.95,1.2787322685796354,0.9642857142857143,1988
38,0.1,0.1,multiplicative,linear,0.95,0.2605793441750895,0.9821428571428571,1998
48,0.5,0.01,additive,linear,0.95,0.4122246398828113,0.9464285714285714,2039
33,0.1,0.01,additive,logistic,0.95,0.9998987138581175,0.8214285714285714,2056
55,0.5,0.1,multiplicative,logistic,0.95,0.4126058248333068,0.9107142857142857,2096
38,0.1,0.1,multiplicative,linear,0.95,0.34441355897850295,0.9642857142857143,2111
46,0.1,10.0,multiplicative,linear,0.95,0.7168810980175276,0.9464285714285714,2115
58,0.5,1.0,multiplicative,linear,0.95,0.2321798636326137,0.9285714285714286,2119
25,0.01,1.0,additive,logistic,0.95,1.0337185938457727,0.5892857142857143,2206
59,0.5,1.0,multiplicative,logistic,0.95,0.27646715293222834,0.9642857142857143,2226
15,0.001,10.0,multiplicative,logistic,0.95,0.4090864491214075,0.9464285714285714,2237
54,0.5,0.1,multiplicative,linear,0.95,0.6138206524330508,0.9821428571428571,2243
40,0.1,1.0,additive,linear,0.95,0.20652373840252175,0.8214285714285714,2249
25,0.01,1.0,additive,logistic,0.95,0.47003477140659466,0.7678571428571429,2267
57,0.5,1.0,additive,logistic,0.95,0.12660997355653367,0.9285714285714286,2272
19,0.01,0.01,multiplicative,logistic,0.95,0.10709206627769265,0.9285714285714286,2285
44,0.1,10.0,additive,linear,0.95,0.1221865813636194,0.9107142857142857,2286
46,0.1,10.0,multiplicative,linear,0.95,0.36374365137912984,0.8214285714285714,2294
62,0.5,10.0,multiplicative,linear,0.95,0.79599960351985,0.9107142857142857,2295
15,0.001,10.0,multiplicative,logistic,0.95,0.1588233007100451,0.9285714285714286,2312
33,0.1,0.01,additive,logistic,0.95,0.06892224064832754,0.8571428571428571,2316
45,0.1,10.0,additive,logistic,0.95,0.4874244267904781,0.7857142857142857,2328
41,0.1,1.0,additive,logistic,0.95,0.24109580136139158,0.9464285714285714,2333
38,0.1,0.1,multiplicative,linear,0.95,0.1846928009703062,0.8392857142857143,2398
43,0.1,1.0,multiplicative,logistic,0.95,0.2825413411530783,0.9821428571428571,2425
59,0.5,1.0,multiplicative,logistic,0.95,0.8774061187957536,0.9464285714285714,2455
62,0.5,10.0,multiplicative,linear,0.95,0.4352928589965148,0.6428571428571429,2497
10,0.001,1.0,multiplicative,linear,0.95,0.4735652826673901,0.9821428571428571,2512
11,0.001,1.0,multiplicative,logistic,0.95,0.10116670843902352,0.9821428571428571,2608
60,0.5,10.0,additive,linear,0.95,0.407533664238185,0.6428571428571429,2700
32,0.1,0.01,additive,linear,0.95,0.29182222083279735,0.5,2718
18,0.01,0.01,multiplicative,linear,0.95,0.8179670421780688,0.7321428571428571,2733
42,0.1,1.0,multiplicative,linear,0.95,1.0297347548616513,0.9107142857142857,2805
43,0.1,1.0,multiplicative,logistic,0.95,0.6261258781441414,0.9464285714285714,2849
46,0.1,10.0,multiplicative,linear,0.95,0.7320221978317482,0.9464285714285714,2872
24,0.01,1.0,additive,linear,0.95,0.28023666002022585,0.9821428571428571,2891
47,0.1,10.0,multiplicative,logistic,0.95,0.7919819411879293,0.8928571428571429,2914
18,0.01,0.01,multiplicative,linear,0.95,0.19025225518581226,0.9107142857142857,2920
62,0.5,10.0,multiplicative,linear,0.95,0.414573737107724,0.8928571428571429,2924
